,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
301,wairoa,-39.0333,177.3667,54.0,97,100,11.01,NZ,1620801342
302,shintomi,32.0785,131.4723,69.8,94,75,2.3,JP,1620801343
303,barao de melgaco,-16.1944,-55.9675,71.6,83,0,5.75,BR,1620801343
304,kabanjahe,3.1001,98.4908,82.4,89,75,6.91,ID,1620801343
305,kastamonu,41.5,33.6667,48.2,53,0,4.61,TR,1620801137
306,vao,-22.6667,167.4833,74.88,78,100,19.55,NC,1620801344
307,zelenoborskiy,66.845,32.3622,46.99,100,100,1.45,RU,1620800772
308,srednekolymsk,67.45,153.6833,28.99,77,97,0.36,RU,1620801345
309,karratha,-20.7377,116.8463,88.61,29,0,9.15,AU,1620801345
310,vestmanna,62.1564,-7.1664,39.2,75,20,11.5,FO,1620801345
311,kalat,29.0225,66.5916,72.23,13,0,15.28,PK,1620801346
312,yellowknife,62.456,-114.3525,30.2,74,20,9.22,CA,1620801346
313,pingliang,35.5392,106.6861,75.96,43,100,13.89,CN,1620801347
314,makat,47.6469,53.3463,77.32,35,79,23.15,KZ,1620801347
315,richards bay,-28.783,32.0377,71.62,41,0,3.13,ZA,1620801066
316,santa maria,-29.6842,-53.8069,43.68,80,11,2.55,BR,1620801348
317,broken hill,-31.95,141.4333,62.6,45,0,4.61,AU,1620801348
318,lompoc,34.6391,-120.4579,53.6,94,0,3.44,US,1620801348
319,eyemouth,55.8713,-2.0901,46.0,87,100,5.01,GB,1620801349
320,verkh-usugli,52.7,115.1667,58.57,17,100,9.69,RU,1620801349
321,goderich,43.7501,-81.7165,41.0,81,4,10.36,CA,1620801350
322,pentecoste,-3.7928,-39.2703,75.0,85,79,1.01,BR,1620801350
323,papetoai,-17.4961,-149.8729,80.6,69,75,1.14,PF,1620801351
324,ust-kulom,61.6864,53.6902,67.66,48,100,10.49,RU,1620801311
325,corredor,8.64,-82.946,74.98,96,100,2.8,CR,1620801351
326,alpena,45.0617,-83.4327,39.2,65,1,3.44,US,1620801352
327,khrebtovaya,56.7032,104.2494,40.21,46,100,9.35,RU,1620801352
328,pevek,69.7008,170.3133,25.92,84,100,0.98,RU,1620801353
329,mehamn,71.0357,27.8492,41.0,65,75,2.3,NO,1620801353
330,souillac,-20.5167,57.5167,80.6,74,40,9.22,MU,1620801353
331,okhotsk,59.3833,143.3,36.23,73,100,7.94,RU,1620801354
332,tezu,27.9167,96.1667,71.85,93,100,2.86,IN,1620801354
333,nyurba,63.2842,118.3319,47.73,34,8,7.72,RU,1620801354
334,nome,64.5011,-165.4064,39.99,87,1,12.66,US,1620801355
335,seymchan,62.8833,152.4333,38.66,57,93,2.35,RU,1620801355
336,uong bi,21.0333,106.7833,87.8,79,75,11.5,VN,1620801356
337,wasilla,61.5814,-149.4394,48.2,76,90,4.61,US,1620801242
338,miragoane,18.4423,-73.0876,78.91,77,100,2.3,HT,1620801356
